date,railcar_id,distance_km,fuel_used_l,temperature_c,maintenance_flag
2025-01-01,RC001,194.17,127.73,30.3,0
2025-01-01,RC002,62.11,38.11,38.0,0
2025-01-01,RC003,184.51,129.84,27.4,0
2025-01-01,RC004,139.35,108.61,18.4,0
2025-01-01,RC005,135.79,104.51,27.9,0
2025-01-01,RC006,67.33,50.42,18.9,0
2025-01-01,RC007,70.34,50.18,16.1,0
2025-01-01,RC008,118.66,72.57,21.6,0
2025-01-01,RC009,50.89,33.3,34.7,0
2025-01-01,RC010,184.61,128.09,32.1,0
2025-01-01,RC011,194.89,149.04,15.1,0
2025-01-01,RC012,181.59,122.14,29.3,0
2025-01-01,RC013,177.01,117.17,19.6,0
2025-01-01,RC014,65.55,47.71,24.8,0
2025-01-01,RC015,76.88,53.37,20.5,0
2025-01-02,RC001,163.1,108.29,27.3,0
2025-01-02,RC002,89.28,57.15,16.3,0
2025-01-02,RC003,96.39,59.51,33.5,0
2025-01-02,RC004,137.68,107.37,17.8,0
2025-01-02,RC005,115.61,74.69,28.3,0
2025-01-02,RC006,198.22,133.74,15.7,0
2025-01-02,RC007,63.81,38.3,38.5,0
2025-01-02,RC008,199.45,146.26,32.7,0
2025-01-02,RC009,138.26,85.69,26.3,0
2025-01-02,RC010,142.86,101.13,28.5,0
2025-01-02,RC011,109.98,71.55,20.2,0
2025-01-02,RC012,187.43,127.52,38.9,0
2025-01-02,RC013,173.54,121.38,33.7,0
2025-01-02,RC014,53.64,42.15,27.3,0
2025-01-02,RC015,133.48,82.17,31.6,0
2025-01-03,RC001,61.03,40.59,26.9,0
2025-01-03,RC002,121.77,91.06,23.4,0
2025-01-03,RC003,76.5,51.24,29.8,0
2025-01-03,RC004,74.32,45.19,22.5,0
2025-01-03,RC005,53.29,40.96,25.5,0
2025-01-03,RC006,55.31,41.23,35.0,0
2025-01-03,RC007,93.15,71.13,32.9,0
2025-01-03,RC008,138.47,86.51,29.9,0
2025-01-03,RC009,197.02,154.1,24.2,0
2025-01-03,RC010,109.23,78.77,20.2,0
2025-01-03,RC011,166.48,131.83,26.1,0
2025-01-03,RC012,59.3,44.69,37.3,0
2025-01-03,RC013,98.51,65.96,22.4,0
2025-01-03,RC014,195.37,138.7,22.8,0
2025-01-03,RC015,115.33,73.82,35.9,0
2025-01-04,RC001,60.24,40.71,32.1,1
2025-01-04,RC002,105.26,70.84,20.2,0
2025-01-04,RC003,96.18,59.99,22.1,0
2025-01-04,RC004,71.55,51.78,35.6,0
2025-01-04,RC005,188.39,150.13,15.5,0
2025-01-04,RC006,121.21,79.38,24.4,0
2025-01-04,RC007,166.31,112.17,26.1,0
2025-01-04,RC008,128.87,99.97,29.3,0
2025-01-04,RC009,123.26,93.04,28.0,0
2025-01-04,RC010,95.48,68.94,20.2,0
2025-01-04,RC011,188.41,122.87,29.5,1
2025-01-04,RC012,83.18,53.89,29.3,0
2025-01-04,RC013,124.49,86.81,35.3,0
2025-01-04,RC014,166.53,123.41,23.1,0
2025-01-04,RC015,189.46,121.84,32.5,0
2025-01-05,RC001,95.12,63.43,22.6,0
2025-01-05,RC002,150.64,110.62,25.5,0
2025-01-05,RC003,96.63,67.7,22.7,0
2025-01-05,RC004,120.7,84.26,24.5,0
2025-01-05,RC005,165.98,100.52,23.5,0
2025-01-05,RC006,87.13,68.18,39.4,0
2025-01-05,RC007,72.3,52.85,17.6,0
2025-01-05,RC008,66.56,43.64,15.1,0
2025-01-05,RC009,91.89,61.21,15.4,1
2025-01-05,RC010,96.43,63.52,15.0,0
2025-01-05,RC011,65.07,39.69,37.0,0
2025-01-05,RC012,119.39,95.08,23.1,0
2025-01-05,RC013,191.11,114.85,20.8,0
2025-01-05,RC014,53.21,38.24,31.0,0
2025-01-05,RC015,55.4,38.6,17.4,0
2025-01-06,RC001,82.98,63.88,32.8,0
2025-01-06,RC002,64.64,49.84,25.7,0
2025-01-06,RC003,107.2,71.92,34.6,0
2025-01-06,RC004,79.45,51.48,26.8,0
2025-01-06,RC005,70.38,52.12,16.7,0
2025-01-06,RC006,181.09,132.63,22.1,0
2025-01-06,RC007,94.02,71.93,32.5,0
2025-01-06,RC008,190.89,117.66,22.5,0
2025-01-06,RC009,186.81,112.31,37.4,0
2025-01-06,RC010,180.83,109.39,17.8,0
2025-01-06,RC011,109.68,65.96,31.6,0
